scenario,year,population,age_0_14,age_15_64,age_65_plus,old_age_dependency,total_dependency,share_65_plus,median_age,births,net_international_migration
Census principal rebased para 2025,2071,373521262.5196829,53127764.45620157,221363858.29934183,99029639.7641395,44.73613738256474,68.73633545661482,26.512450481696764,46.2397705187546,3373895.293832128,971887.0
Census principal rebased para 2025,2072,373799702.7151256,53066371.369389296,220802927.01955318,99930404.32618307,45.25773533669404,69.29109942551793,26.733676779390183,46.32124336344339,3363896.445926124,972805.0
Census principal rebased para 2025,2073,374046054.0521917,52996371.85832346,220231242.6443649,100818439.5495034,45.778445573368366,69.84241180358366,26.95348298887172,46.40815582982616,3353490.1297590644,973599.0
Census principal rebased para 2025,2074,374259498.4379046,52916808.41224669,219768700.4722453,101573989.55341259,46.21858769476612,70.29699754045275,27.139989760410923,46.49480323178761,3342848.8229382616,974276.0
Census principal rebased para 2025,2075,374438883.7687998,52827337.45362421,219359377.92906144,102252168.38611412,46.61399451049748,70.69654705616891,27.308106294123697,46.58099447329439,3332121.4452611166,974847.0
Census principal rebased para 2025,2076,374583608.5603777,52727943.96628768,219018218.46217632,102837446.13191366,46.95383190219554,71.02851588808213,27.453803044704685,46.666545066618106,3321460.897922665,975320.0
Census principal rebased para 2025,2077,374693149.2436234,52619036.2887289,218714538.6570277,103359574.29786682,47.25775201434955,71.31606867305244,27.585125190176083,46.75123215686303,3310996.6972662047,975660.0
Census principal rebased para 2025,2078,374767422.8268385,52501615.6255597,218404030.46203718,103861776.73924169,47.554880978853944,71.59363864943893,27.713661970888833,46.83475352189998,3300850.8353479677,975858.0
Census principal rebased para 2025,2079,374806805.1182013,52376966.32170149,218081971.30987358,104347867.48662624,47.8480026844392,71.86510323021464,27.84044101166159,46.91674372117881,3291119.3128318735,975881.0
Census principal rebased para 2025,2080,374811803.31034076,52246580.482111804,217727698.49670607,104837524.33152302,48.15075208867331,72.14704692981968,27.970710475389833,46.996768723698146,3281879.3293301812,975728.0
Census principal rebased para 2025,2081,374784045.1114759,52112017.43283639,217377242.01578918,105294785.66285035,48.43873474813995,72.41181350725459,28.094788728674782,47.074478783367894,3273173.7265032693,975401.0
Census principal rebased para 2025,2082,374725615.90442693,51974904.98058385,217084333.50959373,105666377.41424936,48.675266292111125,72.61753063717353,28.19833310813728,47.14969236948419,3265050.9793538186,974871.0
Census principal rebased para 2025,2083,374638514.3769532,51836878.02175425,216821989.1737025,105979647.18149649,48.878643529366876,72.7862177654035,28.28850828584646,47.22220066878819,3257514.319346114,974165.0
Census principal rebased para 2025,2084,374525113.3192837,51699505.954362124,216604302.40413406,106221304.96078743,49.039332913435295,72.90751345303634,28.361597442528097,47.291764508249734,3250553.8410408064,973285.0
Census principal rebased para 2025,2085,374387218.7906038,51564179.22090046,216415866.83042032,106407172.7392831,49.16791652003127,72.99434846150497,28.42168946979919,47.358138428718874,3244134.30886259,972253.0
Census principal rebased para 2025,2086,374226784.21374434,51432130.36088037,216318232.35861576,106476421.49424821,49.22212073078054,72.99826285254834,28.452378607254598,47.421133123707186,3238225.435529422,971110.0
Census principal rebased para 2025,2087,374045740.49479955,51304365.706198215,216124865.56535476,106616509.22324663,49.33097769400647,73.06927618733005,28.503602014612152,47.48055674697636,3232759.434935624,969859.0
Census principal rebased para 2025,2088,373845536.4258926,51181652.991802305,215949404.49277622,106714478.94131406,49.416426589351296,73.1171879376024,28.545072374421157,47.53619441022243,3227663.5481794067,968487.0
Census principal rebased para 2025,2089,373627540.77108014,51064525.488041915,215822301.01676086,106740714.2662774,49.45768521761237,73.11813422935569,28.568748986220196,47.587915970762204,3222851.1721446607,967005.0
Census principal rebased para 2025,2090,373392859.5849945,50953274.9439861,215687416.64267537,106752167.99833298,49.493924893721065,73.11759090869276,28.589772208547885,47.635639017976146,3218244.254617999,965419.0
Census principal rebased para 2025,2091,373143119.59262884,50847942.505847365,215429273.59147117,106865903.49531034,49.60602694040796,73.20910634468277,28.639387378220707,47.67943592777035,3213741.674737511,963735.0
Census principal rebased para 2025,2092,372880209.45593107,50748348.43179022,215152068.36224443,106979792.6618964,49.7228743726405,73.31007426250952,28.690123516608846,47.71950049621624,3209244.325231342,961941.0
Census principal rebased para 2025,2093,372605960.2004361,50654066.4281242,214856728.4443439,107095165.32796796,49.84492042831681,73.42066171176727,28.74220403515773,47.75618863899431,3204655.083147482,960046.0
Census principal rebased para 2025,2094,372322229.45357,50564532.46286862,214544349.22568768,107213347.76501381,49.972580565257324,73.54091627084041,28.79584920899377,47.78994798327679,3199899.6068627397,958048.0
Census principal rebased para 2025,2095,372030459.1347822,50478993.33179838,214216095.1185451,107335370.68443866,50.10611860189139,73.67063802040838,28.851231948605676,47.82120730833019,3194894.002823688,955948.0
Census principal rebased para 2025,2096,371732009.0638249,50396637.55299263,213873853.44587862,107461518.06495355,50.245280726728474,73.80900146258067,28.90833058352606,47.850347269221885,3189571.488229647,953743.0
Census principal rebased para 2025,2097,371427968.004685,50316507.614452966,213520207.05928865,107591253.33094336,50.38926048861888,73.95448099277542,28.96692295653575,47.87776798771649,3183877.312937925,951433.0
Census principal rebased para 2025,2098,371118757.7241569,50237615.14603709,213158075.31011865,107723067.26800108,50.536704795855066,74.10494872606863,29.02657573241525,47.903812834161094,3177794.5494698193,949015.0
Census principal rebased para 2025,2099,370804772.4653203,50158978.597711004,212790169.90155333,107855623.96605593,50.68637522868419,74.25841270622222,29.0869028596829,47.92883356615109,3171297.7571187722,946488.0
Census principal rebased para 2025,2100,370486533.51793885,50079663.87730518,212418735.80327675,107988133.83735688,50.8373865558478,74.41330310008546,29.147654251278777,47.95324484895788,3164390.747528975,943853.0
NIM 574 mil; fecundidade Census,2025,341784857.0,58899693.0,218268076.0,64617088.0,29.60446125891539,56.58948539959641,18.905778496792795,39.384881493556044,,
NIM 574 mil; fecundidade Census,2026,343036228.08635825,58572183.35876129,218085678.45295596,66378366.27464102,30.43682957336409,57.294248077072076,19.35024957711769,39.60138850232205,3718706.2772055,574000.0
NIM 574 mil; fecundidade Census,2027,344233401.63639283,58292190.82016335,217936373.43974328,68004837.37648624,31.203986880734593,57.95133056647341,19.75544414144867,39.81179389369764,3714546.989593447,574000.0
NIM 574 mil; fecundidade Census,2028,345374271.81047624,58010152.557235435,217810770.25313696,69553349.0001038,31.932924583697016,58.566204696437424,20.138543799310888,40.02327298893732,3709640.2851642747,574000.0
NIM 574 mil; fecundidade Census,2029,346456616.95667374,57719967.86973095,217729402.6440712,71007246.4428716,32.612612527555264,59.12256808192176,20.495277898459488,40.24186933891095,3703927.086434006,574000.0
NIM 574 mil; fecundidade Census,2030,347478445.3504136,57399545.20011031,217802032.34898967,72276867.8013135,33.18466178749998,59.53866068322082,20.800388849566225,40.4706181737364,3697500.652820838,574000.0
NIM 574 mil; fecundidade Census,2031,348438028.1491007,57088284.38729606,218052672.86954632,73297070.89225847,33.61438772003023,59.79534832740149,21.035898774198603,40.69836069005489,3690049.0403603055,574000.0
NIM 574 mil; fecundidade Census,2032,349333441.956126,56843373.39165168,218337541.78502774,74152526.77944656,33.96233472870009,59.99696575318003,21.226861752548626,40.91552900781535,3681035.7643923974,574000.0
NIM 574 mil; fecundidade Census,2033,350161733.93060726,56632939.30369135,218605684.82498914,74923109.80192679,34.27317540342493,60.179610247070656,21.39671544371966,41.11618662445428,3669118.8926791744,574000.0
NIM 574 mil; fecundidade Census,2034,350921317.4244548,56471108.83786445,218747569.42698196,75702639.1596083,34.607305287055034,60.42295616984783,21.57253931314826,41.30252400882173,3655149.309378317,574000.0
NIM 574 mil; fecundidade Census,2035,351611102.68708616,56339634.24489628,218726817.9848592,76544650.4573307,34.99554885977874,60.75353993008098,21.769690966058906,41.47875049662888,3639542.993440189,574000.0
NIM 574 mil; fecundidade Census,2036,352230660.9864526,56303148.41454172,218587427.64843217,77340084.92347875,35.38176269125123,61.13948765295287,21.95722675217459,41.64706823128783,3622229.7777684205,574000.0
NIM 574 mil; fecundidade Census,2037,352779710.04977036,56160400.48872286,218779695.26234022,77839614.29870738,35.57899383915375,61.24883510179038,22.064651702255134,41.80908788701573,3602909.8539743135,574000.0
NIM 574 mil; fecundidade Census,2038,353258737.62276894,56043942.05343634,219085901.93130407,78128893.63802838,35.66130588472382,61.24211302904172,22.116620289080902,41.96593623025326,3581964.755818146,574000.0
NIM 574 mil; fecundidade Census,2039,353669071.57826596,55976426.11501849,219391768.74829355,78300876.71495397,35.68997923745624,61.20434854783806,22.139588391354774,42.125876153028614,3559655.8942927714,574000.0
NIM 574 mil; fecundidade Census,2040,354012230.4173964,55897327.840820566,219615449.76956552,78499452.80701043,35.74404846716251,61.19641436376568,22.174220567028442,42.3014057739533,3535841.1594008603,574000.0
NIM 574 mil; fecundidade Census,2041,354290606.8808924,55693699.11240052,219989684.1453535,78607223.62313843,35.73223168555503,61.04873656112097,22.18721639706499,42.493967247374755,3511026.6801323057,574000.0
NIM 574 mil; fecundidade Census,2042,354507232.4384946,55468748.56095508,220259803.80873117,78778680.06880847,35.76625362711127,60.94958149801182,22.22202337789433,42.70356795193452,3485665.731761438,574000.0
NIM 574 mil; fecundidade Census,2043,354665418.68021536,55222966.905307114,220492061.82647842,78950389.94842988,35.806454570034276,60.851785657176166,22.260526623153982,42.92694886849538,3460104.283097739,574000.0
NIM 574 mil; fecundidade Census,2044,354769787.5143259,54957284.55095127,220634944.9881303,79177557.9752444,35.88622735147599,60.794921916567596,22.318010372302954,43.147289687914736,3434673.3993092766,574000.0
NIM 574 mil; fecundidade Census,2045,354825754.0745798,54673266.8560989,220595052.23800486,79557434.980476,36.06492265957068,60.849371041989855,22.421550315018585,43.3334827465098,3410102.905542935,574000.0
NIM 574 mil; fecundidade Census,2046,354839361.97988516,54373334.91489688,220543224.77337655,79922802.29161166,36.23906486981764,60.893340679364385,22.523657422240053,43.50556476782432,3386946.164444241,574000.0
NIM 574 mil; fecundidade Census,2047,354814730.2285205,54060355.44559877,220450128.55626786,80304246.22665381,36.4273982295079,60.950112640990035,22.63272614835731,43.67622543959286,3365026.9636992915,574000.0
NIM 574 mil; fecundidade Census,2048,354756864.5238285,53738380.257886454,220315313.171317,80703171.09462507,36.630758857815,61.02233631303235,22.74886807418052,43.85107845781941,3344090.768562658,574000.0
NIM 574 mil; fecundidade Census,2049,354671214.1554698,53410463.08247184,220208292.34490326,81052458.72809462,36.807178269719955,61.061697712982884,22.852843843302537,44.02496308074876,3324195.8501468445,574000.0
NIM 574 mil; fecundidade Census,2050,354562884.33100307,53079229.011536226,219972930.77523345,81510724.54423344,37.054888643330585,61.184779909711985,22.98907419427999,44.202881165877166,3305310.0254425434,574000.0
NIM 574 mil; fecundidade Census,2051,354436372.1158903,52747450.00691368,219702018.54338792,81986903.56558871,37.31731920769654,61.325951607447024,23.131628132899802,44.38929220857454,3287476.2051451164,574000.0
NIM 574 mil; fecundidade Census,2052,354295943.39005286,52418365.35376597,219428972.05446646,82448605.9818204,37.57416589517408,61.462700240927994,23.27111205195222,44.579832936362685,3270888.8883154085,574000.0
NIM 574 mil; fecundidade Census,2053,354145216.94611704,52095026.118570685,219081056.01189658,82969134.81564987,37.87143275918136,61.650314907595785,23.427998133396667,44.76631943556925,3255724.568880976,574000.0
NIM 574 mil; fecundidade Census,2054,353987551.23210895,51780179.390937604,218636670.97863448,83570700.86253686,38.22355165236829,61.90676049339462,23.60837282883423,44.9386024867868,3242005.5236630235,574000.0
NIM 574 mil; fecundidade Census,2055,353825586.37798136,51476595.808735974,218039086.70819715,84309903.86104822,38.66733489572932,62.276219241143664,23.82809697967474,45.10242715616159,3229548.989974145,574000.0
NIM 574 mil; fecundidade Census,2056,353661652.5651695,51186371.893718064,217438345.2524566,85036935.41899483,39.10852767034387,62.649164826264176,24.044714715945915,45.25575337387873,3218235.718235158,574000.0
NIM 574 mil; fecundidade Census,2057,353497363.1357381,50911315.423488386,216876811.3821554,85709236.33009426,39.51977889377362,62.99454094833846,24.246075153093322,45.40334578951598,3208205.633489937,574000.0
NIM 574 mil; fecundidade Census,2058,353333985.3454939,50652691.63585219,216341118.85507065,86340174.85457113,39.909276290842975,63.322620875505585,24.435853451840117,45.550379839411264,3199284.91795617,574000.0
NIM 574 mil; fecundidade Census,2059,353171627.57340413,50410907.08286956,215804455.48547447,86956265.00506009,40.294008207311094,63.65353846791902,24.62153191708099,45.69965603186588,3190913.036932695,574000.0
NIM 574 mil; fecundidade Census,2060,353009325.0132715,50185248.0673335,215252119.17298585,87571957.77295217,40.68343582837184,63.99807182830941,24.807264728675335,45.85208835449966,3182650.6506553274,574000.0
NIM 574 mil; fecundidade Census,2061,352845572.3421888,49974194.57273653,214683289.09549206,88188088.67396021,41.07822692931342,64.35632872442231,24.993395294311817,46.01004127371351,3174274.4170383033,574000.0
NIM 574 mil; fecundidade Census,2062,352678385.9560763,49776279.72099414,214056285.52016285,88845820.71491931,41.50582193791762,64.75964959359068,25.191739628179104,46.16704478900122,3165631.953211177,574000.0
NIM 574 mil; fecundidade Census,2063,352504840.85234565,49589820.20409999,213293540.3801806,89621480.26806507,42.01790645338867,65.26747140303958,25.424184261232597,46.314629970632,3156291.0526914457,574000.0
NIM 574 mil; fecundidade Census,2064,352321784.1811019,49412917.50879312,212369432.7501718,90539433.92213696,42.632987596028556,65.90042155245943,25.69793807458624,46.45541354063883,3146099.9898988768,574000.0
NIM 574 mil; fecundidade Census,2065,352125917.8407221,49243609.88644108,211280635.58151814,91601672.37276289,43.355450971946894,66.66265551102141,26.013896657898748,46.58859127417538,3134918.7992342487,574000.0
NIM 574 mil; fecundidade Census,2066,351913955.3386763,49079806.90495078,210188461.07205594,92645687.36166961,44.07743740504823,67.42781860800373,26.326232863516,46.71359994414846,3122721.2135138134,574000.0
NIM 574 mil; fecundidade Census,2067,351682443.5982637,48919318.534284145,209313643.58524972,93449481.47872984,44.645671384851475,68.01697088371104,26.572120155500198,46.82908212223191,3109571.775812862,574000.0
NIM 574 mil; fecundidade Census,2068,351427573.02054334,48759798.67690982,208477258.96850672,94190515.37512684,45.1802349288157,68.56878047961634,26.802255316949978,46.92819072714692,3095496.3928627246,574000.0
NIM 574 mil; fecundidade Census,2069,351145391.0105937,48598947.79813929,207589484.6239357,94956958.58851865,45.74266310287368,69.15374670673734,27.042063207844837,47.04391332175011,3080564.3874233635,574000.0
